SERVICE NUMBER,REQUEST DATE,LOCATION,WARD,DISTRICT COUNCIL,STATUS,REQUEST TYPE,REQUEST DESCRIPTION,SEE_CLICK_FIX WEBSITE SUBMISSION,MAP LOCATION,LATITUDE,LONGITUDE,GEOCODER
4049618,"THURSDAY, FEBRUARY 05, 2015",811 EDMUND AVE ,1,7,In Compliance,Complaint,Garbage Rubbish,No,"811 EDMUND AVE
St Paul, MN
(44.958422, -93.134465)",44.958422,-93.134465,extracted
4049620,"THURSDAY, FEBRUARY 05, 2015",810 THOMAS AVE ,1,7,In Compliance,Complaint,Vehicle/Abandoned,No,"810 THOMAS AVE
St Paul, MN
(44.959329, -93.134468)",44.959329,-93.134468,extracted
4049626,"THURSDAY, FEBRUARY 05, 2015",48 WINIFRED ST W,2,3,Resolved,Complaint,Garbage Rubbish,No,"48 WINIFRED ST W
St Paul, MN
(44.931381, -93.087278)",44.931381,-93.087278,extracted
4049627,"THURSDAY, FEBRUARY 05, 2015",459 MILTON ST N,1,8,In Compliance,Complaint,Snow Walk,No,"459 MILTON ST N
St Paul, MN
(44.955079, -93.139014)",44.955079,-93.139014,extracted
4049629,"THURSDAY, FEBRUARY 05, 2015",395 OXFORD ST N,1,8,In Compliance,Complaint,Snow Walk,No,"395 OXFORD ST N
St Paul, MN
(44.953344, -93.144082)",44.953344,-93.144082,extracted
4049631,"THURSDAY, FEBRUARY 05, 2015",400 OXFORD ST N,1,8,In Compliance,Complaint,Snow Walk,No,"400 OXFORD ST N
St Paul, MN
(44.953725, -93.144082)",44.953725,-93.144082,extracted
4049632,"THURSDAY, FEBRUARY 05, 2015",382 AVON ST N,1,8,In Compliance,Complaint,Snow Walk,No,"382 AVON ST N
St Paul, MN
(44.952776, -93.13322)",44.952776,-93.13322,extracted
4049634,"THURSDAY, FEBRUARY 05, 2015",383 ST ALBANS ST N,1,8,In Compliance,Complaint,Snow Walk,No,"383 ST ALBANS ST N
St Paul, MN
(44.952665, -93.128882)",44.952665,-93.128882,extracted
4049636,"THURSDAY, FEBRUARY 05, 2015",387 ST ALBANS ST N,1,8,In Compliance,Complaint,Snow Walk,No,"387 ST ALBANS ST N
St Paul, MN
(44.952771, -93.128883)",44.952771,-93.128883,extracted
4049638,"THURSDAY, FEBRUARY 05, 2015",1036 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"1036 CENTRAL AVE W
St Paul, MN
(44.953069, -93.143846)",44.953069,-93.143846,extracted
4049640,"THURSDAY, FEBRUARY 05, 2015",1031 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"1031 CENTRAL AVE W
St Paul, MN
(44.953064, -93.143573)",44.953064,-93.143573,extracted
4049641,"THURSDAY, FEBRUARY 05, 2015",1020 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"1020 CENTRAL AVE W
St Paul, MN
(44.953056, -93.143172)",44.953056,-93.143172,extracted
4049643,"THURSDAY, FEBRUARY 05, 2015",1004 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"1004 CENTRAL AVE W
St Paul, MN
(44.953045, -93.142585)",44.953045,-93.142585,extracted
4049644,"THURSDAY, FEBRUARY 05, 2015",1239 HERBERT ST ,6,2,Resolved,Complaint,Certificate of Occupancy,No,"1239 HERBERT ST
St Paul, MN
(44.97794, -93.031635)",44.97794,-93.031635,extracted
4049646,"THURSDAY, FEBRUARY 05, 2015",1001 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"1001 CENTRAL AVE W
St Paul, MN
(44.953043, -93.142476)",44.953043,-93.142476,extracted
4049647,"THURSDAY, FEBRUARY 05, 2015",983 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"983 CENTRAL AVE W
St Paul, MN
(44.953031, -93.141832)",44.953031,-93.141832,extracted
4049649,"THURSDAY, FEBRUARY 05, 2015",976 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"976 CENTRAL AVE W
St Paul, MN
(44.953025, -93.141353)",44.953025,-93.141353,extracted
4049650,"THURSDAY, FEBRUARY 05, 2015",974 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"974 FULLER AVE
St Paul, MN
(44.953926, -93.141202)",44.953926,-93.141202,extracted
4049651,"THURSDAY, FEBRUARY 05, 2015",970 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"970 CENTRAL AVE W
St Paul, MN
(44.953025, -93.141048)",44.953025,-93.141048,extracted
4049652,"THURSDAY, FEBRUARY 05, 2015",971 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"971 CENTRAL AVE W
St Paul, MN
(44.953025, -93.141046)",44.953025,-93.141046,extracted
4049653,"THURSDAY, FEBRUARY 05, 2015",966 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"966 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140894)",44.953026,-93.140894,extracted
4049654,"THURSDAY, FEBRUARY 05, 2015",962 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"962 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140737)",44.953026,-93.140737,extracted
4049655,"THURSDAY, FEBRUARY 05, 2015",954 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"954 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140429)",44.953026,-93.140429,extracted
4049656,"THURSDAY, FEBRUARY 05, 2015",955 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"955 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140429)",44.953026,-93.140429,extracted
4049657,"THURSDAY, FEBRUARY 05, 2015",951 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"951 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140275)",44.953026,-93.140275,extracted
4049659,"THURSDAY, FEBRUARY 05, 2015",946 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"946 CENTRAL AVE W
St Paul, MN
(44.953026, -93.140118)",44.953026,-93.140118,extracted
4049660,"THURSDAY, FEBRUARY 05, 2015",942 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"942 CENTRAL AVE W
St Paul, MN
(44.953026, -93.139964)",44.953026,-93.139964,extracted
4049662,"THURSDAY, FEBRUARY 05, 2015",947 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"947 CENTRAL AVE W
St Paul, MN
(44.953026, -93.139964)",44.953026,-93.139964,extracted
4049663,"THURSDAY, FEBRUARY 05, 2015",36 ISABEL ST W,2,3,In Compliance,Complaint,Snow Walk,No,"36 ISABEL ST W
St Paul, MN
(44.933088, -93.086945)",44.933088,-93.086945,extracted
4049664,"THURSDAY, FEBRUARY 05, 2015",939 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"939 CENTRAL AVE W
St Paul, MN
(44.953026, -93.13981)",44.953026,-93.13981,extracted
4049665,"THURSDAY, FEBRUARY 05, 2015",84 ISABEL ST W,2,3,In Compliance,Complaint,Snow Walk,No,"84 ISABEL ST W
St Paul, MN
(44.933082, -93.088981)",44.933082,-93.088981,extracted
4049666,"THURSDAY, FEBRUARY 05, 2015",938 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"938 CENTRAL AVE W
St Paul, MN
(44.953026, -93.13981)",44.953026,-93.13981,extracted
4049667,"THURSDAY, FEBRUARY 05, 2015",935 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"935 CENTRAL AVE W
St Paul, MN
(44.953026, -93.139656)",44.953026,-93.139656,extracted
4049668,"THURSDAY, FEBRUARY 05, 2015",90 ISABEL ST W,2,3,In Compliance,Complaint,Snow Walk,No,"90 ISABEL ST W
St Paul, MN
(44.933083, -93.089176)",44.933083,-93.089176,extracted
4049669,"THURSDAY, FEBRUARY 05, 2015",934 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"934 CENTRAL AVE W
St Paul, MN
(44.953026, -93.139657)",44.953026,-93.139657,extracted
4049670,"THURSDAY, FEBRUARY 05, 2015",926 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"926 CENTRAL AVE W
St Paul, MN
(44.953027, -93.13935)",44.953027,-93.13935,extracted
4049671,"THURSDAY, FEBRUARY 05, 2015",910 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"910 CENTRAL AVE W
St Paul, MN
(44.953029, -93.138504)",44.953029,-93.138504,extracted
4049672,"THURSDAY, FEBRUARY 05, 2015",905 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"905 CENTRAL AVE W
St Paul, MN
(44.95303, -93.138393)",44.95303,-93.138393,extracted
4049673,"THURSDAY, FEBRUARY 05, 2015",897 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"897 CENTRAL AVE W
St Paul, MN
(44.953032, -93.138041)",44.953032,-93.138041,extracted
4049674,"THURSDAY, FEBRUARY 05, 2015",894 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"894 CENTRAL AVE W
St Paul, MN
(44.953032, -93.138011)",44.953032,-93.138011,extracted
4049675,"THURSDAY, FEBRUARY 05, 2015",89 CONGRESS ST W,2,3,In Compliance,Complaint,Snow Walk,No,"89 CONGRESS ST W
St Paul, MN
(44.932236, -93.089233)",44.932236,-93.089233,extracted
4049676,"THURSDAY, FEBRUARY 05, 2015",872 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"872 CENTRAL AVE W
St Paul, MN
(44.953036, -93.137046)",44.953036,-93.137046,extracted
4049677,"THURSDAY, FEBRUARY 05, 2015",866 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"866 CENTRAL AVE W
St Paul, MN
(44.953037, -93.136819)",44.953037,-93.136819,extracted
4049678,"THURSDAY, FEBRUARY 05, 2015",85 CONGRESS ST W,2,3,In Compliance,Complaint,Snow Walk,No,"85 CONGRESS ST W
St Paul, MN
(44.932237, -93.089058)",44.932237,-93.089058,extracted
4049679,"THURSDAY, FEBRUARY 05, 2015",862 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"862 CENTRAL AVE W
St Paul, MN
(44.953038, -93.136674)",44.953038,-93.136674,extracted
4049680,"THURSDAY, FEBRUARY 05, 2015",81 CONGRESS ST W,2,3,In Compliance,Complaint,Snow Walk,No,"81 CONGRESS ST W
St Paul, MN
(44.932238, -93.088912)",44.932238,-93.088912,extracted
4049681,"THURSDAY, FEBRUARY 05, 2015",855 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"855 CENTRAL AVE W
St Paul, MN
(44.953037, -93.136119)",44.953037,-93.136119,extracted
4049682,"THURSDAY, FEBRUARY 05, 2015",795 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"795 CENTRAL AVE W
St Paul, MN
(44.953027, -93.133885)",44.953027,-93.133885,extracted
4049683,"THURSDAY, FEBRUARY 05, 2015",79 CONGRESS ST W,2,3,In Compliance,Complaint,Snow Walk,No,"79 CONGRESS ST W
St Paul, MN
(44.932239, -93.08876)",44.932239,-93.08876,extracted
4049684,"THURSDAY, FEBRUARY 05, 2015",755 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"755 CENTRAL AVE W
St Paul, MN
(44.953028, -93.132179)",44.953028,-93.132179,extracted
4049685,"THURSDAY, FEBRUARY 05, 2015",667 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"667 CENTRAL AVE W
St Paul, MN
(44.953042, -93.128254)",44.953042,-93.128254,extracted
4049686,"THURSDAY, FEBRUARY 05, 2015",69 CONGRESS ST W,2,3,In Compliance,Complaint,Snow Walk,No,"69 CONGRESS ST W
St Paul, MN
(44.932241, -93.088466)",44.932241,-93.088466,extracted
4049687,"THURSDAY, FEBRUARY 05, 2015",666 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"666 CENTRAL AVE W
St Paul, MN
(44.953042, -93.12822)",44.953042,-93.12822,extracted
4049688,"THURSDAY, FEBRUARY 05, 2015",654 CENTRAL AVE W,1,8,Resolved,Complaint,Snow Walk,No,"654 CENTRAL AVE W
St Paul, MN
(44.953044, -93.127762)",44.953044,-93.127762,extracted
4049689,"THURSDAY, FEBRUARY 05, 2015",646 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"646 CENTRAL AVE W
St Paul, MN
(44.953041, -93.127447)",44.953041,-93.127447,extracted
4049691,"THURSDAY, FEBRUARY 05, 2015",235 ROBIE ST W,2,3,In Compliance,Complaint,Snow Walk,No,"235 ROBIE ST W
St Paul, MN
(44.93055, -93.095462)",44.93055,-93.095462,extracted
4049692,"THURSDAY, FEBRUARY 05, 2015",647 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"647 CENTRAL AVE W
St Paul, MN
(44.95304, -93.127406)",44.95304,-93.127406,extracted
4049693,"THURSDAY, FEBRUARY 05, 2015",640 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"640 CENTRAL AVE W
St Paul, MN
(44.953039, -93.127296)",44.953039,-93.127296,extracted
4049694,"THURSDAY, FEBRUARY 05, 2015",636 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"636 CENTRAL AVE W
St Paul, MN
(44.953038, -93.127144)",44.953038,-93.127144,extracted
4049695,"THURSDAY, FEBRUARY 05, 2015",719 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"719 ST ANTHONY AVE
St Paul, MN
(44.952165, -93.130443)",44.952165,-93.130443,extracted
4049696,"THURSDAY, FEBRUARY 05, 2015",721 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"721 ST ANTHONY AVE
St Paul, MN
(44.952166, -93.130595)",44.952166,-93.130595,extracted
4049699,"THURSDAY, FEBRUARY 05, 2015",735 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"735 ST ANTHONY AVE
St Paul, MN
(44.952171, -93.131054)",44.952171,-93.131054,extracted
4049700,"THURSDAY, FEBRUARY 05, 2015",873 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"873 ST ANTHONY AVE
St Paul, MN
(44.952142, -93.137123)",44.952142,-93.137123,extracted
4049701,"THURSDAY, FEBRUARY 05, 2015",947 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"947 ST ANTHONY AVE
St Paul, MN
(44.952148, -93.140121)",44.952148,-93.140121,extracted
4049702,"THURSDAY, FEBRUARY 05, 2015",885 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"885 ST ANTHONY AVE
St Paul, MN
(44.952142, -93.137583)",44.952142,-93.137583,extracted
4049705,"THURSDAY, FEBRUARY 05, 2015",913 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"913 ST ANTHONY AVE
St Paul, MN
(44.952142, -93.13867)",44.952142,-93.13867,extracted
4049706,"THURSDAY, FEBRUARY 05, 2015",923 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"923 ST ANTHONY AVE
St Paul, MN
(44.952143, -93.139202)",44.952143,-93.139202,extracted
4049707,"THURSDAY, FEBRUARY 05, 2015",927 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"927 ST ANTHONY AVE
St Paul, MN
(44.952144, -93.139356)",44.952144,-93.139356,extracted
4049708,"THURSDAY, FEBRUARY 05, 2015",931 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"931 ST ANTHONY AVE
St Paul, MN
(44.952145, -93.139507)",44.952145,-93.139507,extracted
4049711,"THURSDAY, FEBRUARY 05, 2015",997 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"997 ST ANTHONY AVE
St Paul, MN
(44.952158, -93.142344)",44.952158,-93.142344,extracted
4049712,"THURSDAY, FEBRUARY 05, 2015",1005 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1005 ST ANTHONY AVE
St Paul, MN
(44.952158, -93.142695)",44.952158,-93.142695,extracted
4049714,"THURSDAY, FEBRUARY 05, 2015",249 WINIFRED ST W,2,3,In Compliance,Complaint,Snow Walk,No,"249 WINIFRED ST W
St Paul, MN
(44.931373, -93.096326)",44.931373,-93.096326,extracted
4049715,"THURSDAY, FEBRUARY 05, 2015",532 SMITH AVE S,2,3,In Compliance,Complaint,Snow Walk,No,"532 SMITH AVE S
St Paul, MN
(44.92994, -93.101865)",44.92994,-93.101865,extracted
4049716,"THURSDAY, FEBRUARY 05, 2015",212 GOODRICH AVE ,2,9,In Compliance,Complaint,Snow Walk,No,"212 GOODRICH AVE
St Paul, MN
(44.93781, -93.108838)",44.93781,-93.108838,extracted
4049717,"THURSDAY, FEBRUARY 05, 2015",192 GOODRICH AVE ,2,9,In Compliance,Complaint,Snow Walk,No,"192 GOODRICH AVE
St Paul, MN
(44.937811, -93.108263)",44.937811,-93.108263,extracted
4049720,"THURSDAY, FEBRUARY 05, 2015",182 GOODRICH AVE ,2,9,In Compliance,Complaint,Snow Walk,No,"182 GOODRICH AVE
St Paul, MN
(44.937811, -93.107934)",44.937811,-93.107934,extracted
4049723,"THURSDAY, FEBRUARY 05, 2015",2434 UNIVERSITY AVE W,4,12,Resolved,Complaint,Snow Walk,No,"2434 UNIVERSITY AVE W
St Paul, MN
(44.964399, -93.198923)",44.964399,-93.198923,extracted
4049725,"THURSDAY, FEBRUARY 05, 2015",681 WHEELOCK PKWY W,5,10,In Compliance,Complaint,Dumping,No,"681 WHEELOCK PKWY W
St Paul, MN
(44.980864, -93.128904)",44.980864,-93.128904,extracted
4049584,"THURSDAY, FEBRUARY 05, 2015",359 MARIA AVE ,7,4,In Compliance,Complaint,Certificate of Occupancy,No,"359 MARIA AVE
St Paul, MN
(44.956523, -93.072089)",44.956523,-93.072089,extracted
4049743,"FRIDAY, FEBRUARY 06, 2015",135 WINNIPEG AVE ,1,6,Resolved,Complaint,Garbage Rubbish,No,"135 WINNIPEG AVE
St Paul, MN
(44.967477, -93.10557)",44.967477,-93.10557,extracted
4049744,"FRIDAY, FEBRUARY 06, 2015",662 3RD ST E,7,4,Transfer to VB,Complaint,Snow Walk,No,"662 3RD ST E
St Paul, MN
(44.954611, -93.071132)",44.954611,-93.071132,extracted
4049745,"FRIDAY, FEBRUARY 06, 2015",609 WELLS ST ,6,5,Resolved,Complaint,Snow Walk,No,"609 WELLS ST
St Paul, MN
(44.967524, -93.074872)",44.967524,-93.074872,extracted
4049746,"FRIDAY, FEBRUARY 06, 2015",735 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"735 SIMS AVE
St Paul, MN
(44.969371, -93.069451)",44.969371,-93.069451,extracted
4049747,"FRIDAY, FEBRUARY 06, 2015",731 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"731 SIMS AVE
St Paul, MN
(44.969372, -93.069733)",44.969372,-93.069733,extracted
4049748,"FRIDAY, FEBRUARY 06, 2015",729 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"729 SIMS AVE
St Paul, MN
(44.969372, -93.069888)",44.969372,-93.069888,extracted
4049749,"FRIDAY, FEBRUARY 06, 2015",723 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"723 SIMS AVE
St Paul, MN
(44.969372, -93.070048)",44.969372,-93.070048,extracted
4049750,"FRIDAY, FEBRUARY 06, 2015",734 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"734 SIMS AVE
St Paul, MN
(44.969372, -93.06974)",44.969372,-93.06974,extracted
4049751,"FRIDAY, FEBRUARY 06, 2015",660 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"660 SIMS AVE
St Paul, MN
(44.969356, -93.072645)",44.969356,-93.072645,extracted
4049752,"FRIDAY, FEBRUARY 06, 2015",653 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"653 SIMS AVE
St Paul, MN
(44.969353, -93.072953)",44.969353,-93.072953,extracted
4049753,"FRIDAY, FEBRUARY 06, 2015",413 SINNEN ST ,7,4,Transfer to VB,Complaint,Snow Walk,No,"413 SINNEN ST
St Paul, MN
(44.96083, -93.066956)",44.96083,-93.066956,extracted
4049755,"FRIDAY, FEBRUARY 06, 2015",530 MINNEHAHA AVE E,5,5,Transfer to VB,Complaint,Snow Walk,No,"530 MINNEHAHA AVE E
St Paul, MN
(44.962969, -93.078224)",44.962969,-93.078224,extracted
4049756,"FRIDAY, FEBRUARY 06, 2015",745 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"745 SIMS AVE
St Paul, MN
(44.969373, -93.069033)",44.969373,-93.069033,extracted
4049757,"FRIDAY, FEBRUARY 06, 2015",749 SIMS AVE ,6,5,Open,Complaint,Snow Walk,No,"749 SIMS AVE
St Paul, MN
(44.969375, -93.068877)",44.969375,-93.068877,extracted
4049758,"FRIDAY, FEBRUARY 06, 2015",753 SIMS AVE ,6,5,Resolved,Complaint,Snow Walk,No,"753 SIMS AVE
St Paul, MN
(44.969376, -93.068717)",44.969376,-93.068717,extracted
4049759,"FRIDAY, FEBRUARY 06, 2015",776 CASE AVE ,6,5,Resolved,Complaint,Snow Walk,No,"776 CASE AVE
St Paul, MN
(44.9703, -93.067672)",44.9703,-93.067672,extracted
4049760,"FRIDAY, FEBRUARY 06, 2015",741 CASE AVE ,6,5,In Compliance,Complaint,Snow Walk,No,"741 CASE AVE
St Paul, MN
(44.970279, -93.069194)",44.970279,-93.069194,extracted
4049761,"FRIDAY, FEBRUARY 06, 2015",530 GERANIUM AVE E,5,5,Transfer to VB,Complaint,Snow Walk,No,"530 GERANIUM AVE E
St Paul, MN
(44.975607, -93.078042)",44.975607,-93.078042,extracted
4049762,"FRIDAY, FEBRUARY 06, 2015",724 CASE AVE ,6,5,Resolved,Complaint,Snow Walk,No,"724 CASE AVE
St Paul, MN
(44.970269, -93.070046)",44.970269,-93.070046,extracted
4049763,"FRIDAY, FEBRUARY 06, 2015",736 CASE AVE ,6,5,Resolved,Complaint,Snow Walk,No,"736 CASE AVE
St Paul, MN
(44.970274, -93.069585)",44.970274,-93.069585,extracted
4049764,"FRIDAY, FEBRUARY 06, 2015",436 PIERCE ST ,4,13,Resolved,Complaint,Garbage Rubbish,No,"436 PIERCE ST
St Paul, MN
(44.954299, -93.170799)",44.954299,-93.170799,extracted
4049765,"FRIDAY, FEBRUARY 06, 2015",664 CASE AVE ,6,5,Open,Complaint,Snow Walk,No,"664 CASE AVE
St Paul, MN
(44.970259, -93.072477)",44.970259,-93.072477,extracted
4049767,"FRIDAY, FEBRUARY 06, 2015",1040 FULLER AVE ,1,8,Resolved,Complaint,Snow Walk,No,"1040 FULLER AVE
St Paul, MN
(44.953957, -93.144327)",44.953957,-93.144327,extracted
4049768,"FRIDAY, FEBRUARY 06, 2015",453 FRY ST ,4,13,Resolved,Complaint,Garbage Rubbish,No,"453 FRY ST
St Paul, MN
(44.954912, -93.169518)",44.954912,-93.169518,extracted
4049773,"FRIDAY, FEBRUARY 06, 2015",1033 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1033 ST ANTHONY AVE
St Paul, MN
(44.95216, -93.143672)",44.95216,-93.143672,extracted
4049774,"FRIDAY, FEBRUARY 06, 2015",1027 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1027 ST ANTHONY AVE
St Paul, MN
(44.95216, -93.143463)",44.95216,-93.143463,extracted
4049775,"FRIDAY, FEBRUARY 06, 2015",1011 ST ANTHONY AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1011 ST ANTHONY AVE
St Paul, MN
(44.952159, -93.142907)",44.952159,-93.142907,extracted
4049776,"FRIDAY, FEBRUARY 06, 2015",833 CENTRAL AVE W,1,8,In Compliance,Complaint,Snow Walk,No,"833 CENTRAL AVE W
St Paul, MN
(44.953034, -93.135506)",44.953034,-93.135506,extracted
4049778,"FRIDAY, FEBRUARY 06, 2015",874 MARGARET ST ,7,4,Resolved,Complaint,Snow Walk,No,"874 MARGARET ST
St Paul, MN
(44.961243, -93.063851)",44.961243,-93.063851,extracted
4049779,"FRIDAY, FEBRUARY 06, 2015",1020 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1020 FULLER AVE
St Paul, MN
(44.953943, -93.143178)",44.953943,-93.143178,extracted
4049781,"FRIDAY, FEBRUARY 06, 2015",876 MARGARET ST ,7,4,Resolved,Complaint,Snow Walk,No,"876 MARGARET ST
St Paul, MN
(44.961243, -93.063718)",44.961243,-93.063718,extracted
4049782,"FRIDAY, FEBRUARY 06, 2015",1027 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1027 FULLER AVE
St Paul, MN
(44.953948, -93.143455)",44.953948,-93.143455,extracted
4049783,"FRIDAY, FEBRUARY 06, 2015",1014 FULLER AVE ,1,8,Resolved,Complaint,Snow Walk,No,"1014 FULLER AVE
St Paul, MN
(44.953941, -93.143042)",44.953941,-93.143042,extracted
4049784,"FRIDAY, FEBRUARY 06, 2015",1031 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1031 FULLER AVE
St Paul, MN
(44.95395, -93.143585)",44.95395,-93.143585,extracted
4049786,"FRIDAY, FEBRUARY 06, 2015",1043 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"1043 FULLER AVE
St Paul, MN
(44.953956, -93.144385)",44.953956,-93.144385,extracted
4049787,"FRIDAY, FEBRUARY 06, 2015",227 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"227 FULLER AVE
St Paul, MN
(44.953994, -93.109661)",44.953994,-93.109661,extracted
4049788,"FRIDAY, FEBRUARY 06, 2015",1026 FULLER AVE ,1,8,Resolved,Complaint,Snow Walk,No,"1026 FULLER AVE
St Paul, MN
(44.953948, -93.143457)",44.953948,-93.143457,extracted
4049789,"FRIDAY, FEBRUARY 06, 2015",468 HERSCHEL ST ,4,13,Resolved,Complaint,Garbage Rubbish,No,"468 HERSCHEL ST
St Paul, MN
(44.955329, -93.173371)",44.955329,-93.173371,extracted
4049790,"FRIDAY, FEBRUARY 06, 2015",235 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"235 FULLER AVE
St Paul, MN
(44.953994, -93.109962)",44.953994,-93.109962,extracted
4049791,"FRIDAY, FEBRUARY 06, 2015",301 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"301 FULLER AVE
St Paul, MN
(44.953969, -93.112399)",44.953969,-93.112399,extracted
4049792,"FRIDAY, FEBRUARY 06, 2015",909 MARGARET ST ,7,4,Resolved,Complaint,Snow Walk,No,"909 MARGARET ST
St Paul, MN
(44.961247, -93.062245)",44.961247,-93.062245,extracted
4049793,"FRIDAY, FEBRUARY 06, 2015",319 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"319 FULLER AVE
St Paul, MN
(44.953961, -93.113623)",44.953961,-93.113623,extracted
4049794,"FRIDAY, FEBRUARY 06, 2015",915 MARGARET ST ,7,4,Resolved,Complaint,Snow Walk,No,"915 MARGARET ST
St Paul, MN
(44.961248, -93.062014)",44.961248,-93.062014,extracted
4049795,"FRIDAY, FEBRUARY 06, 2015",328 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"328 FULLER AVE
St Paul, MN
(44.953964, -93.113892)",44.953964,-93.113892,extracted
4049796,"FRIDAY, FEBRUARY 06, 2015",337 FULLER AVE ,1,8,In Compliance,Complaint,Snow Walk,No,"337 FULLER AVE
St Paul, MN
(44.953966, -93.114117)",44.953966,-93.114117,extracted
