ADDRESS,VACANT AS OF,WARD,DWELLING TYPE,DISTRICT,SALE REVIEW CATEGORY,CENSUS TRACT,MAP LOCATION
2015 ARLINGTON AVE E,08/12/2014 12:00:00 AM,6,Single Family Residential,2,2,30702,"2015 ARLINGTON AVE E
St Paul, MN
(44.984731, -93.015134)"
692 ARMSTRONG AVE,08/27/2013 12:00:00 AM,2,Single Family Residential,9,2,36800,"692 ARMSTRONG AVE
St Paul, MN
(44.925045, -93.129084)"
992 ARMSTRONG AVE,09/17/2014 12:00:00 AM,2,Single Family Residential,9,2,36700,"992 ARMSTRONG AVE
St Paul, MN
(44.92505, -93.142206)"
1014 ARMSTRONG AVE,01/16/2014 12:00:00 AM,2,Single Family Residential,9,2,36700,"1014 ARMSTRONG AVE
St Paul, MN
(44.925053, -93.143082)"
1007 ARUNDEL ST,06/06/2011 12:00:00 AM,5,Single Family Residential,6,3,30800,"1007 ARUNDEL ST
St Paul, MN
(44.971624, -93.1188)"
1476 ARUNDEL ST,05/06/2013 12:00:00 AM,5,Single Family Residential,6,2,30400,"1476 ARUNDEL ST
St Paul, MN
(44.985631, -93.11855)"
484 ASHLAND AVE,10/08/2007 12:00:00 AM,1,Multi-family Residential,8,3,35500,"484 ASHLAND AVE
St Paul, MN
(44.944414, -93.120598)"
179 ATWATER ST,04/28/2015 12:00:00 AM,1,Single Family Residential,6,2,31300,"179 ATWATER ST
St Paul, MN
(44.966584, -93.107578)"
408 AURORA AVE,05/01/2014 12:00:00 AM,1,Single Family Residential,8,2,33600,"408 AURORA AVE
St Paul, MN
(44.954892, -93.117402)"
630 AURORA AVE,11/12/2013 12:00:00 AM,1,Single Family Residential,8,2,33500,"630 AURORA AVE
St Paul, MN
(44.954819, -93.12684)"
646 AURORA AVE,05/12/2015 12:00:00 AM,1,Single Family Residential,8,2,33500,"646 AURORA AVE
St Paul, MN
(44.954821, -93.127442)"
650 AURORA AVE,01/07/2005 12:00:00 AM,1,Single Family Residential,8,2,33500,"650 AURORA AVE
St Paul, MN
(44.954821, -93.127593)"
675 AURORA AVE,08/21/2013 12:00:00 AM,1,Single Family Residential,8,2,33500,"675 AURORA AVE
St Paul, MN
(44.954825, -93.128514)"
687 AURORA AVE,02/17/2010 12:00:00 AM,1,Duplex,8,2,33500,"687 AURORA AVE
St Paul, MN
(44.954826, -93.129193)"
750 AURORA AVE,08/16/2013 12:00:00 AM,1,Single Family Residential,8,2,33500,"750 AURORA AVE
St Paul, MN
(44.954824, -93.131888)"
823 AURORA AVE,08/03/2011 12:00:00 AM,1,Duplex,8,2,33500,"823 AURORA AVE
St Paul, MN
(44.954829, -93.13491)"
882 AURORA AVE,01/29/2015 12:00:00 AM,1,Single Family Residential,8,2,33500,"882 AURORA AVE
St Paul, MN
(44.954841, -93.137447)"
224 AVON ST N,05/06/2011 12:00:00 AM,1,Duplex,8,2,33900,"224 AVON ST N
St Paul, MN
(44.948038, -93.13319)"
287 AVON ST N,07/17/2007 12:00:00 AM,1,Duplex,8,2,33800,"287 AVON ST N
St Paul, MN
(44.94997, -93.133215)"
260 BAKER ST E,08/02/2012 12:00:00 AM,2,Duplex,3,2,37200,"260 BAKER ST E
St Paul, MN
(44.926657, -93.074954)"
1020 BANDANA BLVD W,11/19/2014 12:00:00 AM,4,Commercial,10,2,30202,"1020 BANDANA BLVD W
St Paul, MN
(44.972033, -93.154826)"
