SERVICE NUMBER,REQUEST DATE,LOCATION,WARD,DISTRICT COUNCIL,STATUS,REQUEST TYPE,REQUEST DESCRIPTION,SEE_CLICK_FIX WEBSITE SUBMISSION,MAP LOCATION
4079100,"WEDNESDAY, MAY 20, 2015",Lexington & University,,,In Compliance,Complaint,Exterior,No,"Lexington &amp; University
St Paul, MN
"
4079101,"WEDNESDAY, MAY 20, 2015",746 ENGLEWOOD AVE ,1,7,In Compliance,Complaint,Exterior,No,"746 ENGLEWOOD AVE
St Paul, MN
(44.963868, -93.131797)"
4079106,"WEDNESDAY, MAY 20, 2015",368 SNELLING AVE S,3,14,Resolved,FYI - No Response Required,Graffiti,No,"368 SNELLING AVE S
St Paul, MN
(44.93033, -93.167031)"
4079110,"WEDNESDAY, MAY 20, 2015",1624 CONCORDIA AVE ,4,13,Open,Complaint,Dumping,No,"1624 CONCORDIA AVE
St Paul, MN
(44.951174, -93.168843)"
4079111,"WEDNESDAY, MAY 20, 2015",430 CASE AVE ,5,5,Resolved,Complaint,Garbage Rubbish,No,"430 CASE AVE
St Paul, MN
(44.970139, -93.082239)"
4079112,"WEDNESDAY, MAY 20, 2015",190 COLBORNE ST ,2,9,Resolved,FYI - No Response Required,Parking,No,"190 COLBORNE ST
St Paul, MN
(44.935551, -93.119769)"
4079113,"WEDNESDAY, MAY 20, 2015",1291 JAMES AVE ,3,14,Resolved,Complaint,Tree,No,"1291 JAMES AVE
St Paul, MN
(44.92784, -93.154771)"
4079114,"WEDNESDAY, MAY 20, 2015",1616 3RD ST E,7,1,In Compliance,Complaint,Vehicle/Abandoned,No,"1616 3RD ST E
St Paul, MN
(44.9568, -93.032136)"
4079117,"WEDNESDAY, MAY 20, 2015",548 WHITE BEAR AVE N,7,1,Resolved,Complaint,Vehicle/Abandoned,No,"548 WHITE BEAR AVE N
St Paul, MN
(44.957951, -93.025277)"
4079120,"WEDNESDAY, MAY 20, 2015",1903 NEBRASKA AVE E,6,2,Resolved,Complaint,Vehicle/Abandoned,No,"1903 NEBRASKA AVE E
St Paul, MN
(44.986535, -93.019919)"
4079124,"WEDNESDAY, MAY 20, 2015",267 BATES AVE ,7,4,Resolved,Complaint,Tall Grass,No,"267 BATES AVE
St Paul, MN
(44.954699, -93.067658)"
4079126,"WEDNESDAY, MAY 20, 2015",862 4TH ST E,7,4,Resolved,Complaint,Tall Grass,No,"862 4TH ST E
St Paul, MN
(44.958522, -93.064277)"
4079129,"WEDNESDAY, MAY 20, 2015",1481 WILSON AVE ,7,1,Resolved,Complaint,Tall Grass,No,"1481 WILSON AVE
St Paul, MN
(44.955017, -93.038004)"
4079130,"WEDNESDAY, MAY 20, 2015",1595 WILSON AVE ,7,1,Resolved,Complaint,Tall Grass,No,"1595 WILSON AVE
St Paul, MN
(44.954112, -93.033909)"
4079131,"WEDNESDAY, MAY 20, 2015",1262 MINNEHAHA AVE E,7,4,Resolved,Complaint,Tall Grass,No,"1262 MINNEHAHA AVE E
St Paul, MN
(44.963095, -93.047257)"
4079134,"WEDNESDAY, MAY 20, 2015",700 COOK AVE E,6,5,Open,Complaint,Tall Grass,No,"700 COOK AVE E
St Paul, MN
(44.972965, -93.070823)"
4079136,"WEDNESDAY, MAY 20, 2015",1114 MARGARET ST ,7,4,Resolved,Complaint,Tall Grass,No,"1114 MARGARET ST
St Paul, MN
(44.961251, -93.053414)"
4079138,"WEDNESDAY, MAY 20, 2015",1262 MINNEHAHA AVE E,7,4,Resolved,Complaint,Garbage Rubbish,No,"1262 MINNEHAHA AVE E
St Paul, MN
(44.963095, -93.047257)"
4079139,"WEDNESDAY, MAY 20, 2015",493 AURORA AVE ,1,8,In Compliance,Complaint,Exterior,No,"493 AURORA AVE
St Paul, MN
(44.954879, -93.120922)"
4079140,"WEDNESDAY, MAY 20, 2015",923 BURR ST ,5,5,Transfer to VB,Complaint,Tall Grass,No,"923 BURR ST
St Paul, MN
(44.969067, -93.079871)"
4079142,"WEDNESDAY, MAY 20, 2015",474 EARL ST ,7,4,Resolved,Complaint,Tall Grass,No,"474 EARL ST
St Paul, MN
(44.955599, -93.055779)"
4079143,"WEDNESDAY, MAY 20, 2015",662 DULUTH ST ,7,4,Resolved,Complaint,Garbage Rubbish,No,"662 DULUTH ST
St Paul, MN
(44.96147, -93.050785)"
4079144,"WEDNESDAY, MAY 20, 2015",Case/Cypress,,,Resolved,Complaint,Right of Way Signs,No,"Case/Cypress
St Paul, MN
"
4079145,"WEDNESDAY, MAY 20, 2015",2565 ELLIS AVE ,4,12,Resolved,Complaint,Exterior,No,"2565 ELLIS AVE
St Paul, MN
(44.966396, -93.206844)"
4079149,"WEDNESDAY, MAY 20, 2015",612 UNIVERSITY AVE W,1,8,Resolved,Complaint,Garbage Rubbish,No,"612 UNIVERSITY AVE W
St Paul, MN
(44.955658, -93.125575)"
4079150,"WEDNESDAY, MAY 20, 2015",1145 MINNEHAHA AVE E,7,4,In Compliance,Complaint,Garbage Rubbish,No,"1145 MINNEHAHA AVE E
St Paul, MN
(44.963063, -93.052133)"
4079152,"WEDNESDAY, MAY 20, 2015",between Ravoux and Western along St Anthony,,,Closed,Complaint,Sidewalk,No,"between Ravoux and Western along St Anthony
St Paul, MN
"
4079158,"WEDNESDAY, MAY 20, 2015",766 POINT DOUGLAS ROAD S,7,1,Transfer to VB,Complaint,Tall Grass,No,"766 POINT DOUGLAS ROAD S
St Paul, MN
(44.918177, -93.015355)"
4079161,"WEDNESDAY, MAY 20, 2015",1286 SCHEFFER AVE ,3,15,In Compliance,Complaint,Tall Grass,No,"1286 SCHEFFER AVE
St Paul, MN
(44.921468, -93.154624)"
4079164,"WEDNESDAY, MAY 20, 2015",Dale street from Dayton to University ,,,Resolved,Complaint,Tree,No,"Dale street from Dayton to University
St Paul, MN
"
4079168,"WEDNESDAY, MAY 20, 2015","University, Central, Dale, Western",,,Open,Complaint,Crime,No,"University, Central, Dale, Western
St Paul, MN
"
4079171,"WEDNESDAY, MAY 20, 2015",1251 KENNARD ST ,6,2,Transfer to VB,Complaint,Tall Grass,No,"1251 KENNARD ST
St Paul, MN
(44.979025, -93.03038)"
4079172,"WEDNESDAY, MAY 20, 2015",Hillsdale/Winthrop,,,Resolved,Complaint,Right of Way Signs,No,"Hillsdale/Winthrop
St Paul, MN
"
4079175,"WEDNESDAY, MAY 20, 2015",Central between Western and Dale,,,Resolved,Complaint,Street Maintenance,No,"Central between Western and Dale
St Paul, MN
"
4079177,"WEDNESDAY, MAY 20, 2015",1062 LINWOOD AVE ,2,16,Resolved,FYI - No Response Required,Parking,No,"1062 LINWOOD AVE
St Paul, MN
(44.93517, -93.145002)"
4079179,"WEDNESDAY, MAY 20, 2015",Fuller Street ,,,Resolved,Complaint,Tree,No,"Fuller Street
St Paul, MN
"
4079186,"WEDNESDAY, MAY 20, 2015",1099 WOODBRIDGE ST ,5,6,In Compliance,Complaint,Garbage Rubbish,No,"1099 WOODBRIDGE ST
St Paul, MN
(44.974323, -93.108485)"
4079187,"WEDNESDAY, MAY 20, 2015",640 OLIVE ST ,2,5,Resolved,Complaint,Exterior,No,"640 OLIVE ST
St Paul, MN
(44.9577, -93.087547)"
4079190,"WEDNESDAY, MAY 20, 2015",1098 WOODBRIDGE ST ,5,6,Under Review,Complaint,Exterior,No,"1098 WOODBRIDGE ST
St Paul, MN
(44.974223, -93.108484)"
4079191,"WEDNESDAY, MAY 20, 2015",1841 STILLWATER AVE ,6,2,Transfer to VB,Complaint,Tall Grass,No,"1841 STILLWATER AVE
St Paul, MN
(44.967723, -93.022661)"
4079196,"WEDNESDAY, MAY 20, 2015",624 HALL AVE ,2,3,Resolved,Complaint,Dumping,No,"624 HALL AVE
St Paul, MN
(44.927337, -93.086591)"
4079197,"WEDNESDAY, MAY 20, 2015",1078 FRONT AVE ,1,10,Resolved,Complaint,Garbage Rubbish,No,"1078 FRONT AVE
St Paul, MN
(44.97023, -93.145641)"
4079201,"WEDNESDAY, MAY 20, 2015",1106 HAWTHORNE AVE E,6,5,Resolved,Complaint,Dumping,No,"1106 HAWTHORNE AVE E
St Paul, MN
(44.978426, -93.053939)"
4079202,"WEDNESDAY, MAY 20, 2015",1501 ALAMEDA ST ,5,10,In Compliance,Complaint,Exterior,No,"1501 ALAMEDA ST
St Paul, MN
(44.986412, -93.129994)"
4079203,"WEDNESDAY, MAY 20, 2015",545 MONTCALM PLACE ,3,15,Resolved,Complaint,Tree,No,"545 MONTCALM PLACE
St Paul, MN
(44.925237, -93.148529)"
4079205,"WEDNESDAY, MAY 20, 2015",418 WHEELOCK PKWY W,5,6,Transfer to VB,Complaint,Tall Grass,No,"418 WHEELOCK PKWY W
St Paul, MN
(44.984681, -93.115923)"
4079206,"WEDNESDAY, MAY 20, 2015",1105 WOODBRIDGE ST ,5,6,In Compliance,Complaint,Exterior,No,"1105 WOODBRIDGE ST
St Paul, MN
(44.974661, -93.108485)"
4079210,"WEDNESDAY, MAY 20, 2015",951 WATSON AVE ,2,9,In Compliance,Complaint,Tall Grass,No,"951 WATSON AVE
St Paul, MN
(44.924176, -93.140201)"
4079211,"WEDNESDAY, MAY 20, 2015",545 CENTRAL AVE W,1,8,Resolved,Complaint,Exterior,No,"545 CENTRAL AVE W
St Paul, MN
(44.953066, -93.123153)"
4079217,"WEDNESDAY, MAY 20, 2015",1272 JULIET AVE ,3,14,Under Review,Complaint,Interior,No,"1272 JULIET AVE
St Paul, MN
(44.929673, -93.153855)"
4079222,"WEDNESDAY, MAY 20, 2015",2194 3RD ST E,7,1,Resolved,Complaint,Tall Grass,No,"2194 3RD ST E
St Paul, MN
(44.956738, -93.008458)"
4079223,"WEDNESDAY, MAY 20, 2015",431 WHEELER ST N,4,13,In Compliance,Complaint,Exterior,No,"431 WHEELER ST N
St Paul, MN
(44.954345, -93.17463)"
4079232,"WEDNESDAY, MAY 20, 2015",594 LAFOND AVE ,1,7,In Compliance,Complaint,Exterior,No,"594 LAFOND AVE
St Paul, MN
(44.960243, -93.125242)"
4079236,"WEDNESDAY, MAY 20, 2015",653 MARSHALL AVE ,1,8,In Compliance,Complaint,Exterior,No,"653 MARSHALL AVE
St Paul, MN
(44.948532, -93.127628)"
4079238,"WEDNESDAY, MAY 20, 2015",St. Anthony stairs,,,Under Review,Complaint,Sidewalk,No,"St. Anthony stairs
St Paul, MN
"
4079240,"WEDNESDAY, MAY 20, 2015",SPPD officer compliment,,,Open,Complaint,Crime,No,"SPPD officer compliment
St Paul, MN
"
4079242,"WEDNESDAY, MAY 20, 2015",1765 BEECH ST ,7,1,Open,Complaint,Crime,No,"1765 BEECH ST
St Paul, MN
(44.962196, -93.026135)"
4079245,"WEDNESDAY, MAY 20, 2015",1105 WOODBRIDGE ST ,5,6,Resolved,Complaint,Certificate of Occupancy,No,"1105 WOODBRIDGE ST
St Paul, MN
(44.974661, -93.108485)"
4079248,"WEDNESDAY, MAY 20, 2015",1054 EUCLID ST ,7,4,Resolved,Complaint,Garbage Rubbish,No,"1054 EUCLID ST
St Paul, MN
(44.954957, -93.056133)"
4078775,"WEDNESDAY, MAY 20, 2015",Oxford & Portland,,,Resolved,Complaint,Street Maintenance,No,"Oxford &amp; Portland
St Paul, MN
"
4078778,"WEDNESDAY, MAY 20, 2015",1115 RANKIN ST ,3,15,Resolved,Complaint,Exterior,No,"1115 RANKIN ST
St Paul, MN
(44.90612, -93.159165)"
4078788,"WEDNESDAY, MAY 20, 2015",788 GRAND AVE ,2,16,Open,Complaint,Taxi,No,"788 GRAND AVE
St Paul, MN
(44.939953, -93.133191)"
4078825,"WEDNESDAY, MAY 20, 2015",855 LEXINGTON PKWY S,3,15,Resolved,Complaint,Tall Grass,No,"855 LEXINGTON PKWY S
St Paul, MN
(44.915149, -93.148424)"
4078905,"WEDNESDAY, MAY 20, 2015",1501 ALAMEDA ST ,5,10,In Compliance,Complaint,Garbage Rubbish,No,"1501 ALAMEDA ST
St Paul, MN
(44.986412, -93.129994)"
4078914,"WEDNESDAY, MAY 20, 2015",515 WHITALL ST ,5,5,In Compliance,Complaint,Tall Grass,No,"515 WHITALL ST
St Paul, MN
(44.966572, -93.078932)"
4078915,"WEDNESDAY, MAY 20, 2015",433 WHITALL ST ,5,5,Resolved,Complaint,Tall Grass,No,"433 WHITALL ST
St Paul, MN
(44.966561, -93.082074)"
4078916,"WEDNESDAY, MAY 20, 2015",493 WHITALL ST ,5,5,In Compliance,Complaint,Tall Grass,No,"493 WHITALL ST
St Paul, MN
(44.966568, -93.079521)"
4078919,"WEDNESDAY, MAY 20, 2015",899 BURR ST ,5,5,Resolved,Complaint,Tall Grass,No,"899 BURR ST
St Paul, MN
(44.968236, -93.079874)"
4078925,"WEDNESDAY, MAY 20, 2015",845 BURR ST ,5,5,Resolved,Complaint,Tall Grass,No,"845 BURR ST
St Paul, MN
(44.966927, -93.079876)"
4078926,"WEDNESDAY, MAY 20, 2015",858 BURR ST ,5,5,Resolved,Complaint,Tall Grass,No,"858 BURR ST
St Paul, MN
(44.967117, -93.079875)"
4078957,"WEDNESDAY, MAY 20, 2015",630 LAUREL AVE ,1,8,Resolved,Complaint,Garbage Rubbish,No,"630 LAUREL AVE
St Paul, MN
(44.944957, -93.126598)"
4078958,"WEDNESDAY, MAY 20, 2015",630 LAUREL AVE ,1,8,Open,Complaint,Tall Grass,No,"630 LAUREL AVE
St Paul, MN
(44.944957, -93.126598)"
4078976,"WEDNESDAY, MAY 20, 2015",1758 COTTAGE AVE E,6,2,Open,Complaint,Tall Grass,No,"1758 COTTAGE AVE E
St Paul, MN
(44.982927, -93.026233)"
4079104,"WEDNESDAY, MAY 20, 2015",1848 ORANGE AVE E,6,2,Resolved,Complaint,Exterior,No,"1848 ORANGE AVE E
St Paul, MN
(44.979308, -93.022236)"
4079105,"WEDNESDAY, MAY 20, 2015",1840 ORANGE AVE E,6,2,Closed,Complaint,Exterior,No,"1840 ORANGE AVE E
St Paul, MN
(44.979308, -93.02254)"
4079335,"THURSDAY, MAY 21, 2015",134 MARIA AVE ,7,4,Transfer to VB,Complaint,Tall Grass,No,"134 MARIA AVE
St Paul, MN
(44.949858, -93.064715)"
4079344,"THURSDAY, MAY 21, 2015",889 AGATE ST ,5,6,Transfer to VB,Complaint,Tall Grass,No,"889 AGATE ST
St Paul, MN
(44.967849, -93.094197)"
4079348,"THURSDAY, MAY 21, 2015",1837 ORANGE AVE E,6,2,Resolved,Complaint,Garbage Rubbish,No,"1837 ORANGE AVE E
St Paul, MN
(44.97931, -93.022923)"
4079349,"THURSDAY, MAY 21, 2015",1044 4TH ST E,7,4,Resolved,Complaint,Garbage Rubbish,No,"1044 4TH ST E
St Paul, MN
(44.958543, -93.056462)"
4079357,"THURSDAY, MAY 21, 2015",797 DULUTH ST ,6,4,Resolved,Complaint,Garbage Rubbish,No,"797 DULUTH ST
St Paul, MN
(44.965172, -93.050801)"
4079358,"THURSDAY, MAY 21, 2015",1166 ROSS AVE ,6,4,Resolved,Complaint,Dumping,No,"1166 ROSS AVE
St Paul, MN
(44.965799, -93.051321)"
4079359,"THURSDAY, MAY 21, 2015",1660 VAN DYKE ST ,6,2,Resolved,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"1660 VAN DYKE ST
St Paul, MN
(44.991314, -93.02258)"
4079366,"THURSDAY, MAY 21, 2015",1148 HUBBARD AVE ,4,11,Transferred - Closed,Complaint,Certificate of Occupancy,No,"1148 HUBBARD AVE
St Paul, MN
(44.9657, -93.148581)"
4079368,"THURSDAY, MAY 21, 2015",464 BEACON AVE ,4,13,Resolved,Complaint,Overhanging Vegetation (Sidewalk/Alley),Yes,"464 BEACON AVE
St Paul, MN
(44.955095, -93.175925)"
4079375,"THURSDAY, MAY 21, 2015",554 UNIVERSITY AVE W,1,8,Resolved,Complaint,Garbage Rubbish,No,"554 UNIVERSITY AVE W
St Paul, MN
(44.955664, -93.1245)"
4079377,"THURSDAY, MAY 21, 2015",1038 4TH ST E,7,4,Resolved,Complaint,Garbage Rubbish,No,"1038 4TH ST E
St Paul, MN
(44.958544, -93.056773)"
4079378,"THURSDAY, MAY 21, 2015",1048 VAN SLYKE AVE ,5,10,Resolved,Complaint,Vacant Building Monitoring,No,"1048 VAN SLYKE AVE
St Paul, MN
(44.976633, -93.144104)"
4079379,"THURSDAY, MAY 21, 2015",975 MINNEHAHA AVE W,1,7,Transferred - Closed,Complaint,Graffiti,No,"975 MINNEHAHA AVE W
St Paul, MN
(44.962984, -93.141197)"
4079391,"THURSDAY, MAY 21, 2015",2128 REANEY AVE ,7,2,Resolved,Complaint,Tall Grass,No,"2128 REANEY AVE
St Paul, MN
(44.963962, -93.010688)"
4079395,"THURSDAY, MAY 21, 2015",1349 THOMAS AVE ,4,11,Resolved,Complaint,Tall Grass,No,"1349 THOMAS AVE
St Paul, MN
(44.959287, -93.157316)"
4079396,"THURSDAY, MAY 21, 2015",1388 THOMAS AVE ,4,11,Resolved,Complaint,Tall Grass,No,"1388 THOMAS AVE
St Paul, MN
(44.959274, -93.158872)"
4079397,"THURSDAY, MAY 21, 2015",1495 UNIVERSITY AVE W,4,11,Resolved,Complaint,Tall Grass,No,"1495 UNIVERSITY AVE W
St Paul, MN
(44.955748, -93.163754)"
4079398,"THURSDAY, MAY 21, 2015",932 3RD ST E,7,4,Resolved,Complaint,Tall Grass,No,"932 3RD ST E
St Paul, MN
(44.956731, -93.061349)"
4079402,"THURSDAY, MAY 21, 2015",1395 PAYNE AVE ,6,5,Resolved,Complaint,Tall Grass,No,"1395 PAYNE AVE
St Paul, MN
(44.983203, -93.073592)"
4079403,"THURSDAY, MAY 21, 2015",955 MINNEHAHA AVE W,1,7,Resolved,Complaint,Tall Grass,No,"955 MINNEHAHA AVE W
St Paul, MN
(44.962984, -93.140749)"
4079404,"THURSDAY, MAY 21, 2015",427 FISK ST ,1,8,In Compliance,Complaint,Tall Grass,No,"427 FISK ST
St Paul, MN
(44.95417, -93.134835)"
4079407,"THURSDAY, MAY 21, 2015",773 6TH ST E,7,4,Resolved,Complaint,Tall Grass,No,"773 6TH ST E
St Paul, MN
(44.959366, -93.067559)"
4079409,"THURSDAY, MAY 21, 2015",707 KENT ST ,1,7,In Compliance,Complaint,Tall Grass,No,"707 KENT ST
St Paul, MN
(44.962444, -93.123837)"
4079411,"THURSDAY, MAY 21, 2015",292 STINSON ST ,1,6,In Compliance,Complaint,Tall Grass,No,"292 STINSON ST
St Paul, MN
(44.969326, -93.112452)"
4079412,"THURSDAY, MAY 21, 2015",998 GALTIER ST ,5,6,In Compliance,Complaint,Tall Grass,No,"998 GALTIER ST
St Paul, MN
(44.971432, -93.111039)"
4079413,"THURSDAY, MAY 21, 2015",1615 ST ANTHONY AVE ,4,13,In Compliance,Complaint,Tall Grass,No,"1615 ST ANTHONY AVE
St Paul, MN
(44.95216, -93.168445)"
4079414,"THURSDAY, MAY 21, 2015",287 SIDNEY ST E,2,3,Resolved,Complaint,Vehicle/Abandoned,No,"287 SIDNEY ST E
St Paul, MN
(44.923964, -93.073272)"
4079415,"THURSDAY, MAY 21, 2015",1 7TH PLACE W,2,17,In Compliance,Complaint,Garbage Rubbish,No,"1 7TH PLACE W
St Paul, MN
(44.946758, -93.097192)"
4079416,"THURSDAY, MAY 21, 2015",1237 ASHLAND AVE ,1,13,In Compliance,Complaint,Tall Grass,No,"1237 ASHLAND AVE
St Paul, MN
(44.943967, -93.152447)"
4079422,"THURSDAY, MAY 21, 2015",1899 MONTANA AVE E,6,2,Resolved,Complaint,Sewer,No,"1899 MONTANA AVE E
St Paul, MN
(44.987422, -93.019949)"
4079423,"THURSDAY, MAY 21, 2015",287 SIDNEY ST E,2,3,In Compliance,Complaint,Tall Grass,No,"287 SIDNEY ST E
St Paul, MN
(44.923964, -93.073272)"
4079424,"THURSDAY, MAY 21, 2015",835 HAWTHORNE AVE E,6,5,Resolved,Complaint,Tall Grass,No,"835 HAWTHORNE AVE E
St Paul, MN
(44.978439, -93.065148)"
4079427,"THURSDAY, MAY 21, 2015",368 PAGE ST E,2,3,In Compliance,Complaint,Tall Grass,No,"368 PAGE ST E
St Paul, MN
(44.924863, -93.069952)"
4079428,"THURSDAY, MAY 21, 2015",841 LAWSON AVE E,6,5,Resolved,Complaint,Exterior,No,"841 LAWSON AVE E
St Paul, MN
(44.972105, -93.064932)"
4079429,"THURSDAY, MAY 21, 2015",372 PAGE ST E,2,3,In Compliance,Complaint,Tall Grass,No,"372 PAGE ST E
St Paul, MN
(44.924867, -93.069798)"
4079430,"THURSDAY, MAY 21, 2015",393 SIDNEY ST E,2,3,Resolved,Complaint,Garbage Rubbish,No,"393 SIDNEY ST E
St Paul, MN
(44.923958, -93.068732)"
4079434,"THURSDAY, MAY 21, 2015",384 SIDNEY ST E,2,3,Resolved,Complaint,Tall Grass,No,"384 SIDNEY ST E
St Paul, MN
(44.923949, -93.069234)"
4079435,"THURSDAY, MAY 21, 2015",360 SPRING ST ,2,9,Resolved,Complaint,Permit,No,"360 SPRING ST
St Paul, MN
(44.937249, -93.104205)"
4079441,"THURSDAY, MAY 21, 2015",Central Ave & Dale and Western ,,,Resolved,Complaint,Street Maintenance,No,"Central Ave &amp; Dale and Western
St Paul, MN
"
4079442,"THURSDAY, MAY 21, 2015",park along Central Ave between Western and Dale,,,Resolved,Complaint,Park/Playground,No,"park along Central Ave between Western and Dale
St Paul, MN
"
4079444,"THURSDAY, MAY 21, 2015",ravoux and western along st Anthony,,,Resolved,Complaint,Sidewalk,No,"ravoux and western along st Anthony
St Paul, MN
"
4079446,"THURSDAY, MAY 21, 2015",1327 PRIOR AVE S,3,15,Resolved,Complaint,Garbage Rubbish,No,"1327 PRIOR AVE S
St Paul, MN
(44.901364, -93.182368)"
4079447,"THURSDAY, MAY 21, 2015",613 MINNEHAHA AVE E,6,5,Resolved,Complaint,Exterior,No,"613 MINNEHAHA AVE E
St Paul, MN
(44.962989, -93.074791)"
4079448,"THURSDAY, MAY 21, 2015",613 MINNEHAHA AVE E,6,5,Transferred - Closed,Complaint,Certificate of Occupancy,No,"613 MINNEHAHA AVE E
St Paul, MN
(44.962989, -93.074791)"
4079450,"THURSDAY, MAY 21, 2015",N Cleveland Ave / Hwy 94 and University,,,Resolved,Complaint,Sidewalk,No,"N Cleveland Ave / Hwy 94 and University
St Paul, MN
"
4079453,"THURSDAY, MAY 21, 2015",Wynne Avenue ,,,Resolved,Complaint,Traffic Design,No,"Wynne Avenue
St Paul, MN
"
4079454,"THURSDAY, MAY 21, 2015",610 REANEY AVE ,6,5,Resolved,Complaint,Tall Grass,No,"610 REANEY AVE
St Paul, MN
(44.963896, -93.074769)"
4079456,"THURSDAY, MAY 21, 2015",Lake Como downstairs Men's restroom,,,Resolved,Complaint,Park/Playground,No,"Lake Como downstairs Men's restroom
St Paul, MN
"
4079457,"THURSDAY, MAY 21, 2015",1935 WILSON AVE ,7,1,In Compliance,Complaint,Certificate of Occupancy,No,"1935 WILSON AVE
St Paul, MN
(44.95408, -93.017966)"
4079459,"THURSDAY, MAY 21, 2015",1733 STANFORD AVE ,3,14,Resolved,Complaint,Exterior,No,"1733 STANFORD AVE
St Paul, MN
(44.932445, -93.173546)"
4079462,"THURSDAY, MAY 21, 2015",1505 UNIVERSITY AVE W,4,11,Resolved,FYI - No Response Required,Graffiti,No,"1505 UNIVERSITY AVE W
St Paul, MN
(44.955747, -93.164288)"
4079463,"THURSDAY, MAY 21, 2015",1700 block ford pkwy,,,Resolved,Complaint,Traffic Sign/Light New,No,"1700 block ford pkwy
St Paul, MN
"
4079471,"THURSDAY, MAY 21, 2015",1642 PORTLAND AVE ,4,13,Resolved,Complaint,Vehicle/Abandoned,No,"1642 PORTLAND AVE
St Paul, MN
(44.942899, -93.16979)"
4079473,"THURSDAY, MAY 21, 2015",140 ARUNDEL ST ,1,8,Resolved,FYI - No Response Required,Parking,No,"140 ARUNDEL ST
St Paul, MN
(44.945755, -93.118653)"
4079474,"THURSDAY, MAY 21, 2015",870 IDAHO AVE W,5,10,Resolved,Complaint,Sidewalk,No,"870 IDAHO AVE W
St Paul, MN
(44.990083, -93.136521)"
4079475,"THURSDAY, MAY 21, 2015",1747 STILLWATER AVE ,6,2,Resolved,Complaint,Dumping,No,"1747 STILLWATER AVE
St Paul, MN
(44.967718, -93.02663)"
4079476,"THURSDAY, MAY 21, 2015",593 WHITE BEAR AVE N,7,1,Resolved,Complaint,Tall Grass,No,"593 WHITE BEAR AVE N
St Paul, MN
(44.959251, -93.025285)"
4079477,"THURSDAY, MAY 21, 2015",1796 MARGARET ST ,7,1,Resolved,Complaint,Tall Grass,No,"1796 MARGARET ST
St Paul, MN
(44.961284, -93.024484)"
4079478,"THURSDAY, MAY 21, 2015",323 SUMMIT AVE ,1,8,Resolved,Complaint,Tall Grass,No,"323 SUMMIT AVE
St Paul, MN
(44.943861, -93.113286)"
4079480,"THURSDAY, MAY 21, 2015",1816 SCHEFFER AVE ,3,15,Resolved,Complaint,Tree,No,"1816 SCHEFFER AVE
St Paul, MN
(44.921554, -93.176912)"
4079482,"THURSDAY, MAY 21, 2015",1262 MINNEHAHA AVE E,7,4,Resolved,Complaint,Exterior,No,"1262 MINNEHAHA AVE E
St Paul, MN
(44.963095, -93.047257)"
4079484,"THURSDAY, MAY 21, 2015",1135 MINNEHAHA AVE E,7,4,Resolved,Complaint,Exterior,No,"1135 MINNEHAHA AVE E
St Paul, MN
(44.963059, -93.052523)"
4079487,"THURSDAY, MAY 21, 2015",115 COOK AVE E,5,6,Transfer to VB,Complaint,Tall Grass,No,"115 COOK AVE E
St Paul, MN
(44.972888, -93.095599)"
4079488,"THURSDAY, MAY 21, 2015",1205 COLETTE PLACE ,3,15,Resolved,Complaint,Graffiti,No,"1205 COLETTE PLACE
St Paul, MN
(44.905148, -93.183338)"
4079489,"THURSDAY, MAY 21, 2015",429 MOUNT IDA ST ,5,5,Under Review,Complaint,Zoning,No,"429 MOUNT IDA ST
St Paul, MN
(44.962254, -93.082437)"
4079491,"THURSDAY, MAY 21, 2015",1064 ROSE AVE E,6,5,Resolved,Complaint,Exterior,No,"1064 ROSE AVE E
St Paul, MN
(44.976623, -93.055428)"
4079492,"THURSDAY, MAY 21, 2015",Childs Rd. ,,,Resolved,Complaint,Street Maintenance,No,"Childs Rd.
St Paul, MN
"
4079494,"THURSDAY, MAY 21, 2015",1747 SELBY AVE ,4,13,Resolved,Complaint,Exterior,No,"1747 SELBY AVE
St Paul, MN
(44.946524, -93.174147)"
4079497,"THURSDAY, MAY 21, 2015",1381 WINCHELL ST ,6,2,Resolved,Complaint,Exterior,No,"1381 WINCHELL ST
St Paul, MN
(44.982913, -93.039302)"
4079500,"THURSDAY, MAY 21, 2015",Central Ave  / Western and Dale,,,Resolved,Complaint,Pothole,No,"Central Ave / Western and Dale
St Paul, MN
"
4079501,"THURSDAY, MAY 21, 2015",121 MARIA AVE ,7,4,Resolved,Complaint,Overhanging Vegetation (Sidewalk/Alley),No,"121 MARIA AVE
St Paul, MN
(44.94954, -93.06439)"
4079502,"THURSDAY, MAY 21, 2015",1654 VAN BUREN AVE ,4,11,Resolved,FYI - No Response Required,Parking,No,"1654 VAN BUREN AVE
St Paul, MN
(44.961954, -93.170341)"
4079503,"THURSDAY, MAY 21, 2015",44 BATES AVE ,7,4,Resolved,Complaint,Tall Grass,No,"44 BATES AVE
St Paul, MN
(44.947874, -93.06157)"
4079506,"THURSDAY, MAY 21, 2015",Central Ave / Dale and Western,,,Resolved,Complaint,Sidewalk,No,"Central Ave / Dale and Western
St Paul, MN
"
4079507,"THURSDAY, MAY 21, 2015",666 WESTERN AVE N,1,7,In Compliance,Complaint,Certificate of Occupancy,No,"666 WESTERN AVE N
St Paul, MN
(44.961593, -93.116135)"
